Name;Synonym;Text
Наволоцкая поляна;наволоцкая поляна;Пахотная поляна в устье Пижейручья.
Галайские пожни;галайские пожни;покосы на юге острова Галайский, см. Галайский Остров
Pahag’ärv;pahagärv;Маленькое озерко за хутором Poh'd'ad'g', между оз. Sar'gär'v и Vougedg'är'v.
Sod’järvt’e;sodjärvte;Поляны по дороге в дер. Сидорово.
Piirdoinkodi;piirdoinkodi;Дом в дер. Койвусельга, фам. Михайлов.
Koop’;koop;Река Колпь, вытекает из оз. Jokšar'v, течет в Вологодск. обл.
Дальнее поле;дальнее поле;Поле находится в 600-700 м на востоке д.Каскосельга.
Vas’aborunalso;vasaborunalso;
Timošinhongalon;timošinhongalon;Урочище, в котором , по сведениям информатора, в 30-х годах упала сосна. Тут болото.
D’akovans’üudaižed;dakovansüudaižed;Покос у мостков через болото ( дер. Slabad).
